Custo inicial: 4882.5
-Custo solução SA2: 2560.8
-Custo solução SA2: 2216.71
-Custo solução SA2: 2216.71
-Custo solução SA2: 2212.71
-Custo solução SA2: 2208.71
-Custo solução SA2: 2180.71
-Custo solução SA2: 2180.71
-Custo solução SA2: 2152.71
-Custo solução SA2: 2134.71
-Custo solução SA2: 2134.71
-Custo solução SA2: 2134.71
-Custo solução SA2: 2080.71
-Custo solução SA2: 2056.71
-Custo solução SA2: 2020.71
-Custo solução SA2: 2010.71
-Custo solução SA2: 2042.71
-Custo solução SA2: 2030.71
-Custo solução SA2: 2030.71
-Custo solução SA2: 2024.71
-Custo solução SA2: 2024.71
-Custo solução SA2: 1970.71
-Custo solução SA2: 1952.71
-Custo solução SA2: 1932.71
-Custo solução SA2: 1890.71
-Custo solução SA2: 1878.71
-Custo solução SA2: 1832.71
-Custo solução SA2: 1824.71
-Custo solução SA2: 1816.71
-Custo solução SA2: 1808.71
-Custo solução SA2: 1728.71
-Custo solução SA2: 1704.71
-Custo solução SA2: 1704.71
-Custo solução SA2: 1698.71
-Custo solução SA2: 1698.71
-Custo solução SA2: 1698.71
-Custo solução SA2: 1644.71
-Custo solução SA2: 1695.33
-Custo solução SA2: 1648.71
-Custo solução SA2: 1648.71
-Custo solução SA2: 1648.71
-Custo solução SA2: 1630.71
-Custo solução SA2: 1626.71
-Custo solução SA2: 1626.71
-Custo solução SA2: 1548.71
-Custo solução SA2: 1594.71
-Custo solução SA2: 1626.71
-Custo solução SA2: 1622.71
-Custo solução SA2: 1616.71
-Custo solução SA2: 1612.71
-Custo solução SA2: 1612.71
-Custo solução SA2: 1612.71
-Custo solução SA2: 1612.71
-Custo solução SA2: 1608.71
-Custo solução SA2: 1608.71
-Custo solução SA2: 1606.71
-Custo solução SA2: 1550.71
-Custo solução SA2: 1550.71
-Custo solução SA2: 1550.71
-Custo solução SA2: 1546.71
-Custo solução SA2: 1546.71
-Custo solução SA2: 1544.71
-Custo solução SA2: 1544.71
-Custo solução SA2: 1602.71
-Custo solução SA2: 1540.71
-Custo solução SA2: 1532.71
-Custo solução SA2: 1516.71
-Custo solução SA2: 1555.71
-Custo solução SA2: 1532.71
-Custo solução SA2: 1545.71
-Custo solução SA2: 1530.71
-Custo solução SA2: 1514.71
-Custo solução SA2: 1524.71
-Custo solução SA2: 1524.71
-Custo solução SA2: 1524.71
-Custo solução SA2: 1524.71
-Custo solução SA2: 1524.71
-Custo solução SA2: 1508.71
-Custo solução SA2: 1502.71
-Custo solução SA2: 1502.71
-Custo solução SA2: 1502.71
-Custo solução SA2: 1502.71
-Custo solução SA2: 1502.71
-Custo solução SA2: 1502.71
-Custo solução SA2: 1502.71
-Custo solução SA2: 1540.71
-Custo solução SA2: 1502.71
-Custo solução SA2: 1502.71
-Custo solução SA2: 1500.71
-Custo solução SA2: 1494.71
-Custo solução SA2: 1482.71
-Custo solução SA2: 1492.71
-Custo solução SA2: 1494.71
-Custo solução SA2: 1494.71
-Custo solução SA2: 1494.71
-Custo solução SA2: 1492.71
-Custo solução SA2: 1492.71
-Custo solução SA2: 1567.71
-Custo solução SA2: 1492.71
-Custo solução SA2: 1492.71
-Custo solução SA2: 1492.71
-Custo solução SA2: 1520.71
-Custo solução SA2: 1490.71
-Custo solução SA2: 1482.71
-Custo solução SA2: 1442.71
-Custo solução SA2: 1440.71
-Custo solução SA2: 1440.71
-Custo solução SA2: 1467.71
-Custo solução SA2: 1440.71
-Custo solução SA2: 1440.71
-Custo solução SA2: 1410.71
-Custo solução SA2: 1410.71
-Custo solução SA2: 1406.71
-Custo solução SA2: 1406.71
-Custo solução SA2: 1406.71
-Custo solução SA2: 1378.71
-Custo solução SA2: 1374.71
-Custo solução SA2: 1374.71
-Custo solução SA2: 1374.71
-Custo solução SA2: 1436.71
-Custo solução SA2: 1478.71
-Custo solução SA2: 1476.71
-Custo solução SA2: 1476.71
-Custo solução SA2: 1476.71
-Custo solução SA2: 1476.71
-Custo solução SA2: 1495.71
-Custo solução SA2: 1476.71
-Custo solução SA2: 1476.71
-Custo solução SA2: 1468.71
-Custo solução SA2: 1458.71
-Custo solução SA2: 1454.71
-Custo solução SA2: 1454.71
-Custo solução SA2: 1444.71
-Custo solução SA2: 1442.71
-Custo solução SA2: 1402.71
-Custo solução SA2: 1402.71
-Custo solução SA2: 1402.71
-Custo solução SA2: 1402.71
-Custo solução SA2: 1388.71
-Custo solução SA2: 1388.71
-Custo solução SA2: 1388.71
-Custo solução SA2: 1380.71
-Custo solução SA2: 1380.71
-Custo solução SA2: 1336.71
-Custo solução SA2: 1326.71
-Custo solução SA2: 1364.71
-Custo solução SA2: 1336.71
-Custo solução SA2: 1340.71
-Custo solução SA2: 1332.71
-Custo solução SA2: 1332.71
-Custo solução SA2: 1310.71
-Custo solução SA2: 1306.71
-Custo solução SA2: 1272.71
-Custo solução SA2: 1272.71
-Custo solução SA2: 1272.71
-Custo solução SA2: 1264.71
-Custo solução SA2: 1262.71
-Custo solução SA2: 1258.71
-Custo solução SA2: 1262.71
-Custo solução SA2: 1262.71
-Custo solução SA2: 1262.71
-Custo solução SA2: 1262.71
-Custo solução SA2: 1254.71
-Custo solução SA2: 1254.71
-Custo solução SA2: 1254.71
-Custo solução SA2: 1254.71
-Custo solução SA2: 1254.71
-Custo solução SA2: 1254.71
-Custo solução SA2: 1262.71
-Custo solução SA2: 1262.71
-Custo solução SA2: 1262.71
-Custo solução SA2: 1254.71
-Custo solução SA2: 1258.71
-Custo solução SA2: 1258.71
-Custo solução SA2: 1254.71
-Custo solução SA2: 1252.71
-Custo solução SA2: 1252.71
-Custo solução SA2: 1252.71
